subj,run,set,block,cond,rules,af,mean_accu,median_rt,block1_correct,block2_correct,members,F1Ans,F2Ans,F3Ans,LatentF,ExpectedB1F,B1_t0,B1_t1,B1_t2,B1_t3,B1_t4,B1_t5,B1_t6,B1_t7,B1_t8,B1_t9,B1_t10,B1_t11,B1_t12,B1_t13,B2_t0,B2_t1,B2_t2,B2_t3,B2_t4,B2_t5,B2_t6,B2_t7,B2_t8,B2_t9,B2_t10,B2_t11,B2_t12,B2_t13,B2_t14,B2_t15,group_n
sub-CGAY229,1,1,2,Preserve,1R,0,0.8125,1.2719951998442411,1.0,1.0,"[sub-CGAY229, 1, 1, 2, Preserve, 1R, 0, 0.812500, 1.271995, 1.0, 1.0]",1,0,0,1_0_0,1_0_0,,,,,,,,,,,,,,,B2_t0_1,B2_t1_0,B2_t2_1,B2_t3_0,B2_t4_0,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,280
sub-CGAY229,2,2,1,Destroy,4R,0,0.7857142857142857,1.0656921002082527,1.0,1.0,"[sub-CGAY229, 2, 2, 1, Destroy, 4R, 0, 0.785714, 1.065692, 1.0, 1.0]",1,1,0,1_1_0,0_0_1,B1_t0_0,B1_t1_1,B1_t2_0,B1_t3_0,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,280
sub-CGAY229,2,2,2,Destroy,4R,0,0.875,1.0704202498309314,1.0,1.0,"[sub-CGAY229, 2, 2, 2, Destroy, 4R, 0, 0.875000, 1.070420, 1.0, 1.0]",1,1,0,1_1_0,0_0_1,,,,,,,,,,,,,,,B2_t0_1,B2_t1_0,B2_t2_0,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,280
sub-CGAY229,3,4,1,Expand,2R,0,0.7857142857142857,0.9789296495728195,1.0,1.0,"[sub-CGAY229, 3, 4, 1, Expand, 2R, 0, 0.785714, 0.978930, 1.0, 1.0]",1,0,1,1_0_1,1_0_0,B1_t0_1,B1_t1_1,B1_t2_0,B1_t3_0,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_0,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,280
sub-CGAY229,3,4,2,Expand,2R,0,0.9375,0.9744640504941344,1.0,1.0,"[sub-CGAY229, 3, 4, 2, Expand, 2R, 0, 0.937500, 0.974464, 1.0, 1.0]",1,0,1,1_0_1,1_0_0,,,,,,,,,,,,,,,B2_t0_0,B2_t1_1,B2_t2_1,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,280
sub-CGAY229,4,6,1,Preserve,1R,0,0.9285714285714286,0.984188050031662,1.0,1.0,"[sub-CGAY229, 4, 6, 1, Preserve, 1R, 0, 0.928571, 0.984188, 1.0, 1.0]",0,1,1,0_1_1,0_1_1,B1_t0_1,B1_t1_1,B1_t2_0,B1_t3_1,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,280
sub-CGAY229,4,6,2,Preserve,1R,0,0.9375,0.7950018998235464,1.0,1.0,"[sub-CGAY229, 4, 6, 2, Preserve, 1R, 0, 0.937500, 0.795002, 1.0, 1.0]",0,1,1,0_1_1,0_1_1,,,,,,,,,,,,,,,B2_t0_0,B2_t1_1,B2_t2_1,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,280
sub-CGAY229,5,8,1,Preserve,2R,0,0.9285714285714286,0.793074649758637,1.0,1.0,"[sub-CGAY229, 5, 8, 1, Preserve, 2R, 0, 0.928571, 0.793075, 1.0, 1.0]",0,1,0,0_1_0,0_1_0,B1_t0_1,B1_t1_0,B1_t2_1,B1_t3_1,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,280
sub-CGAY229,5,8,2,Preserve,2R,0,0.875,1.0053660506382585,1.0,1.0,"[sub-CGAY229, 5, 8, 2, Preserve, 2R, 0, 0.875000, 1.005366, 1.0, 1.0]",0,1,0,0_1_0,0_1_0,,,,,,,,,,,,,,,B2_t0_1,B2_t1_1,B2_t2_1,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_0,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_0,B2_t13_1,B2_t14_1,B2_t15_1,280
sub-CGAY230,2,2,1,Expand,2R,0,0.9285714285714286,1.1917556999251246,1.0,1.0,"[sub-CGAY230, 2, 2, 1, Expand, 2R, 0, 0.928571, 1.191756, 1.0, 1.0]",1,0,1,1_0_1,1_0_0,B1_t0_0,B1_t1_1,B1_t2_1,B1_t3_1,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,280
sub-CGAY230,2,2,2,Expand,2R,0,0.9375,1.4220289001241326,1.0,1.0,"[sub-CGAY230, 2, 2, 2, Expand, 2R, 0, 0.937500, 1.422029, 1.0, 1.0]",1,0,1,1_0_1,1_0_0,,,,,,,,,,,,,,,B2_t0_0,B2_t1_1,B2_t2_1,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,280
sub-CGAY230,3,5,1,Preserve,1R,0,0.8571428571428571,1.0220543998293579,1.0,1.0,"[sub-CGAY230, 3, 5, 1, Preserve, 1R, 0, 0.857143, 1.022054, 1.0, 1.0]",1,0,0,1_0_0,1_0_0,B1_t0_0,B1_t1_1,B1_t2_0,B1_t3_1,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,280
sub-CGAY230,3,5,2,Preserve,1R,0,1.0,1.0537998001091182,1.0,1.0,"[sub-CGAY230, 3, 5, 2, Preserve, 1R, 0, 1.000000, 1.053800, 1.0, 1.0]",1,0,0,1_0_0,1_0_0,,,,,,,,,,,,,,,B2_t0_1,B2_t1_1,B2_t2_1,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,280
sub-CGAY230,4,6,1,Preserve,1R,0,0.8571428571428571,0.9943533497862518,1.0,1.0,"[sub-CGAY230, 4, 6, 1, Preserve, 1R, 0, 0.857143, 0.994353, 1.0, 1.0]",0,1,1,0_1_1,0_1_1,B1_t0_0,B1_t1_0,B1_t2_1,B1_t3_1,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,280
sub-CGAY230,4,6,2,Preserve,1R,0,1.0,1.2764929495751858,1.0,1.0,"[sub-CGAY230, 4, 6, 2, Preserve, 1R, 0, 1.000000, 1.276493, 1.0, 1.0]",0,1,1,0_1_1,0_1_1,,,,,,,,,,,,,,,B2_t0_1,B2_t1_1,B2_t2_1,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,280
sub-CGAY230,4,7,1,Expand,2R,0,0.9285714285714286,1.037386099807918,1.0,1.0,"[sub-CGAY230, 4, 7, 1, Expand, 2R, 0, 0.928571, 1.037386, 1.0, 1.0]",1,1,0,1_1_0,0_1_0,B1_t0_1,B1_t1_1,B1_t2_0,B1_t3_1,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,280
sub-CGAY230,4,7,2,Expand,2R,0,1.0,1.02281174948439,1.0,1.0,"[sub-CGAY230, 4, 7, 2, Expand, 2R, 0, 1.000000, 1.022812, 1.0, 1.0]",1,1,0,1_1_0,0_1_0,,,,,,,,,,,,,,,B2_t0_1,B2_t1_1,B2_t2_1,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,280
